random_sampler_compression,space_based_compression,voxel_based_compression,percentage_of_minor_classes_retained
0.6,0.925,0.825,0.73
0.77,0.125,0.425,0.54
0.73,0.425,0.725,0.67
0.35,0.325,0.725,0.46
0.56,0.625,0.225,0.47
0.66,0.625,0.425,0.58
0.73,0.125,0.325,0.49
0.64,0.625,0.625,0.63
0.49,0.625,0.825,0.62
0.41,0.625,0.425,0.46
0.58,0.525,0.825,0.64
0.58,0.125,0.325,0.41
0.32,0.225,0.225,0.27
0.65,0.125,0.425,0.48
0.53,0.125,0.525,0.45
0.43,0.325,0.225,0.35
0.44,0.325,0.525,0.44
0.37,0.225,0.725,0.45
0.51,0.325,0.425,0.45
0.69,0.425,0.925,0.71
0.31,0.425,0.125,0.28
0.52,0.525,0.225,0.43
0.68,0.425,0.725,0.64
0.69,0.825,0.325,0.61
0.75,0.625,0.925,0.78
0.61,0.825,0.825,0.72
0.35,0.325,0.125,0.28
0.77,0.825,0.325,0.65
0.7,0.425,0.225,0.5
0.53,0.925,0.125,0.49
0.47,0.525,0.325,0.44
0.66,0.925,0.125,0.55
0.56,0.625,0.725,0.62
0.36,0.325,0.525,0.4
0.73,0.225,0.825,0.66
0.34,0.625,0.225,0.36
0.3,0.425,0.225,0.3
0.62,0.225,0.425,0.48
0.52,0.625,0.925,0.66
0.56,0.325,0.625,0.53
0.56,0.725,0.925,0.7
0.62,0.625,0.125,0.47
0.58,0.425,0.525,0.53
0.45,0.725,0.225,0.44
0.54,0.325,0.225,0.4
0.51,0.425,0.225,0.41
0.74,0.125,0.525,0.55
0.4,0.225,0.325,0.34
0.73,0.525,0.625,0.66
0.33,0.125,0.925,0.47
0.53,0.325,0.125,0.37
0.39,0.625,0.525,0.48
0.46,0.725,0.525,0.53
0.33,0.425,0.625,0.44
0.63,0.425,0.425,0.53
0.51,0.425,0.525,0.5
0.51,0.625,0.825,0.63
0.55,0.525,0.225,0.45
0.46,0.125,0.225,0.32
0.46,0.825,0.225,0.46
0.71,0.925,0.325,0.64
0.46,0.325,0.525,0.45
0.53,0.225,0.925,0.59
0.68,0.225,0.625,0.57
0.46,0.325,0.225,0.36
0.51,0.625,0.425,0.51
0.53,0.825,0.225,0.5
0.69,0.125,0.725,0.59
0.39,0.825,0.125,0.4
0.32,0.725,0.225,0.37
0.31,0.325,0.225,0.29
0.7,0.825,0.525,0.67
0.52,0.325,0.225,0.39
0.46,0.725,0.525,0.53
0.32,0.525,0.725,0.48
0.71,0.525,0.625,0.65
0.56,0.925,0.725,0.68
0.37,0.325,0.725,0.47
0.79,0.925,0.425,0.71
0.77,0.525,0.125,0.53
0.41,0.725,0.525,0.51
0.72,0.325,0.525,0.58
0.78,0.125,0.525,0.57
0.59,0.725,0.325,0.54
0.34,0.325,0.225,0.3
0.78,0.225,0.525,0.59
0.79,0.725,0.625,0.73
0.67,0.725,0.825,0.73
0.52,0.925,0.225,0.51
0.54,0.125,0.225,0.36
0.42,0.425,0.625,0.48
0.62,0.725,0.425,0.58
0.43,0.125,0.425,0.37
0.34,0.425,0.225,0.32
0.55,0.925,0.425,0.59
0.38,0.425,0.625,0.46
0.4,0.925,0.625,0.57
0.67,0.925,0.325,0.62
0.76,0.425,0.225,0.53
0.35,0.925,0.525,0.52
0.49,0.725,0.125,0.43
0.54,0.225,0.925,0.59
0.79,0.625,0.225,0.59
0.34,0.525,0.425,0.4
0.46,0.125,0.425,0.38
0.52,0.825,0.225,0.49
0.56,0.825,0.625,0.63
0.59,0.425,0.225,0.45
0.31,0.325,0.825,0.47
0.44,0.225,0.425,0.39
0.48,0.625,0.925,0.64
0.63,0.925,0.725,0.72
0.57,0.525,0.525,0.55
0.77,0.425,0.125,0.51
0.77,0.825,0.825,0.8
0.32,0.425,0.525,0.4
0.67,0.425,0.125,0.46
0.45,0.425,0.725,0.53
0.58,0.925,0.425,0.6
0.48,0.125,0.125,0.3
0.39,0.325,0.825,0.51
0.57,0.525,0.725,0.61
0.64,0.925,0.725,0.72
0.61,0.125,0.325,0.43
0.47,0.725,0.625,0.57
0.73,0.825,0.425,0.66
0.72,0.225,0.825,0.65
0.56,0.925,0.825,0.71
0.61,0.325,0.425,0.5
0.61,0.825,0.325,0.57
0.78,0.325,0.925,0.73
0.8,0.325,0.425,0.59
0.4,0.925,0.525,0.54
0.6,0.425,0.925,0.66
0.43,0.725,0.925,0.64
0.62,0.225,0.525,0.51
0.59,0.925,0.225,0.55
0.77,0.125,0.125,0.45
0.78,0.325,0.925,0.73
0.59,0.825,0.425,0.59
0.53,0.425,0.525,0.51
0.71,0.225,0.725,0.62
0.42,0.325,0.225,0.34
0.7,0.825,0.525,0.67
0.31,0.825,0.825,0.57
0.42,0.925,0.525,0.55
0.73,0.525,0.725,0.69
0.62,0.325,0.125,0.41
0.63,0.825,0.125,0.52
0.7,0.425,0.325,0.53
0.32,0.125,0.225,0.25
0.56,0.425,0.125,0.4
0.77,0.525,0.725,0.71
0.52,0.725,0.225,0.47
0.32,0.225,0.325,0.3
0.7,0.125,0.325,0.47
0.72,0.425,0.425,0.57
0.55,0.425,0.725,0.58
0.54,0.225,0.125,0.35
0.54,0.325,0.125,0.37
0.39,0.525,0.525,0.46
0.55,0.525,0.625,0.57
0.45,0.425,0.125,0.35
0.35,0.925,0.625,0.55
0.74,0.225,0.925,0.69
0.78,0.325,0.125,0.49
0.76,0.925,0.525,0.72
0.42,0.225,0.625,0.44
0.6,0.525,0.825,0.65
0.73,0.525,0.125,0.51
0.72,0.125,0.525,0.54
0.69,0.925,0.625,0.72
0.71,0.325,0.425,0.55
0.68,0.425,0.225,0.49
0.67,0.725,0.225,0.55
0.79,0.225,0.925,0.72
0.51,0.225,0.725,0.52
0.53,0.925,0.725,0.67
0.49,0.225,0.525,0.45
0.36,0.925,0.825,0.61
0.77,0.425,0.525,0.63
0.42,0.425,0.425,0.42
0.78,0.525,0.825,0.74
0.4,0.825,0.625,0.55
0.43,0.825,0.425,0.51
0.73,0.525,0.125,0.51
0.47,0.225,0.425,0.41
0.65,0.825,0.525,0.65
0.37,0.825,0.525,0.51
0.37,0.725,0.925,0.61
0.38,0.125,0.125,0.25
0.7,0.625,0.925,0.75
0.54,0.925,0.225,0.52
0.62,0.525,0.925,0.69
0.66,0.925,0.925,0.79
0.65,0.125,0.925,0.63
0.48,0.525,0.225,0.41
0.56,0.225,0.625,0.51
0.5,0.225,0.425,0.42
0.64,0.525,0.325,0.52
0.56,0.925,0.225,0.53
0.65,0.225,0.325,0.47
0.79,0.425,0.225,0.55
0.36,0.425,0.625,0.45
0.47,0.725,0.725,0.6
0.31,0.825,0.625,0.51
0.54,0.925,0.525,0.61
0.31,0.625,0.125,0.32
0.78,0.325,0.825,0.7
0.75,0.825,0.325,0.64
0.69,0.425,0.225,0.5
0.36,0.825,0.725,0.56
0.5,0.325,0.825,0.56
0.32,0.525,0.925,0.54
0.41,0.225,0.725,0.47
0.52,0.925,0.225,0.51
0.62,0.525,0.825,0.66
0.32,0.925,0.325,0.44
0.68,0.625,0.925,0.74
0.58,0.425,0.425,0.5
0.67,0.725,0.425,0.61
0.36,0.225,0.625,0.41
0.46,0.225,0.925,0.55
0.3,0.925,0.725,0.55
0.55,0.625,0.125,0.44
0.79,0.425,0.625,0.67
0.6,0.525,0.625,0.59
0.63,0.925,0.725,0.72
0.75,0.225,0.325,0.52
0.71,0.325,0.725,0.64
0.65,0.825,0.725,0.71
0.71,0.925,0.625,0.73
0.55,0.225,0.725,0.54
0.66,0.725,0.425,0.6
0.51,0.625,0.225,0.45
0.55,0.725,0.925,0.7
0.53,0.925,0.425,0.58
0.63,0.825,0.125,0.52
0.34,0.525,0.725,0.49
0.34,0.725,0.525,0.47
0.52,0.425,0.325,0.44
0.54,0.525,0.325,0.47
0.32,0.725,0.225,0.37
0.64,0.625,0.125,0.48
0.79,0.625,0.825,0.77
0.69,0.325,0.725,0.63
0.58,0.725,0.525,0.59
0.48,0.725,0.125,0.42
0.74,0.625,0.625,0.68
0.72,0.525,0.825,0.71
0.66,0.825,0.525,0.65
0.55,0.625,0.225,0.47
0.37,0.825,0.625,0.54
0.67,0.125,0.525,0.52
0.71,0.625,0.325,0.58
0.58,0.825,0.425,0.58
0.32,0.625,0.525,0.44
0.33,0.725,0.325,0.41
0.59,0.925,0.125,0.52
0.44,0.225,0.525,0.42
0.53,0.925,0.725,0.67
0.36,0.925,0.125,0.4
0.58,0.725,0.825,0.68
0.66,0.925,0.825,0.76
0.64,0.625,0.825,0.69
0.32,0.525,0.625,0.45
0.76,0.725,0.125,0.56
0.46,0.225,0.125,0.31
0.51,0.725,0.325,0.5
0.55,0.425,0.925,0.64
0.59,0.625,0.625,0.61
0.3,0.325,0.825,0.46
0.51,0.925,0.225,0.51
0.79,0.125,0.525,0.58
0.31,0.825,0.925,0.6
0.44,0.525,0.825,0.57
0.72,0.625,0.125,0.52
0.48,0.625,0.225,0.43
0.64,0.725,0.625,0.65
0.76,0.125,0.225,0.47
0.62,0.725,0.725,0.67
0.74,0.925,0.725,0.77
0.55,0.125,0.625,0.49
0.62,0.125,0.125,0.37
0.78,0.125,0.425,0.54
0.77,0.125,0.325,0.51
0.48,0.325,0.925,0.58
0.38,0.725,0.125,0.37
0.62,0.125,0.325,0.43
0.3,0.525,0.425,0.38
0.31,0.925,0.825,0.59
0.58,0.425,0.125,0.41
0.79,0.325,0.125,0.5
0.31,0.325,0.325,0.32
0.58,0.925,0.425,0.6
0.66,0.325,0.625,0.58
0.79,0.425,0.825,0.73
0.59,0.225,0.125,0.38
0.43,0.525,0.725,0.54
0.55,0.425,0.725,0.58
0.67,0.825,0.325,0.6
0.78,0.825,0.225,0.62
0.77,0.825,0.725,0.77
0.57,0.225,0.925,0.61
0.54,0.325,0.725,0.55
0.67,0.625,0.525,0.62
0.65,0.725,0.425,0.6
0.62,0.925,0.625,0.68
0.35,0.125,0.325,0.3
0.41,0.925,0.225,0.46
0.32,0.525,0.725,0.48
0.42,0.625,0.225,0.4
0.76,0.925,0.625,0.75
0.73,0.625,0.525,0.65
0.52,0.725,0.625,0.59
0.63,0.725,0.425,0.59
0.31,0.425,0.325,0.34
0.49,0.325,0.525,0.47
0.41,0.225,0.525,0.41
0.73,0.425,0.525,0.61
0.56,0.125,0.825,0.55
0.57,0.825,0.325,0.55
0.69,0.425,0.125,0.47
0.45,0.325,0.525,0.45
0.75,0.425,0.625,0.65
0.75,0.325,0.125,0.48
0.78,0.825,0.125,0.59
0.67,0.525,0.725,0.66
0.48,0.425,0.925,0.6
0.43,0.225,0.825,0.51
0.4,0.125,0.825,0.47
0.38,0.925,0.725,0.59
0.56,0.625,0.325,0.5
0.4,0.225,0.825,0.49
0.54,0.525,0.425,0.5
0.56,0.525,0.925,0.66
0.66,0.225,0.625,0.56
0.77,0.725,0.325,0.63
0.4,0.525,0.425,0.43
0.43,0.225,0.625,0.45
0.35,0.825,0.625,0.53
0.34,0.525,0.925,0.55
0.63,0.325,0.125,0.42
0.64,0.225,0.525,0.52
0.66,0.825,0.525,0.65
0.71,0.425,0.325,0.54
0.59,0.825,0.625,0.65
0.63,0.125,0.925,0.62
0.38,0.225,0.625,0.42
0.48,0.525,0.225,0.41
0.63,0.525,0.125,0.46
0.37,0.825,0.325,0.45
0.58,0.525,0.525,0.55
0.32,0.425,0.525,0.4
0.47,0.725,0.325,0.48
0.32,0.625,0.825,0.53
0.55,0.325,0.325,0.44
0.65,0.325,0.925,0.67
0.71,0.825,0.925,0.8
0.43,0.225,0.725,0.48
0.76,0.825,0.125,0.58
0.7,0.525,0.125,0.49
0.69,0.625,0.625,0.66
0.32,0.725,0.425,0.43
0.71,0.725,0.225,0.57
0.38,0.625,0.425,0.44
0.7,0.625,0.625,0.66
0.77,0.325,0.725,0.67
0.5,0.825,0.725,0.63
0.43,0.525,0.425,0.45
0.49,0.825,0.925,0.69
0.63,0.425,0.825,0.65
0.48,0.925,0.725,0.64
0.76,0.825,0.825,0.79
0.76,0.525,0.425,0.61
0.52,0.725,0.625,0.59
0.5,0.825,0.225,0.48
0.65,0.325,0.325,0.49
0.61,0.825,0.825,0.72
0.31,0.625,0.225,0.35
0.66,0.425,0.625,0.6
0.75,0.225,0.325,0.52
0.77,0.525,0.225,0.56
0.3,0.725,0.825,0.54
0.38,0.125,0.825,0.46
0.51,0.425,0.825,0.59
0.5,0.925,0.225,0.5
0.34,0.425,0.825,0.5
0.78,0.425,0.925,0.75
0.55,0.625,0.525,0.56
0.72,0.425,0.625,0.63
0.67,0.925,0.125,0.56
0.59,0.125,0.725,0.54
0.77,0.825,0.125,0.59
0.68,0.625,0.825,0.71
0.61,0.725,0.225,0.52
0.43,0.525,0.525,0.48
0.73,0.625,0.425,0.62
0.37,0.725,0.925,0.61
0.61,0.525,0.925,0.69
0.65,0.125,0.825,0.6
0.48,0.525,0.225,0.41
0.47,0.225,0.925,0.56
0.72,0.225,0.125,0.44
0.68,0.525,0.525,0.6
0.34,0.825,0.225,0.4
0.76,0.625,0.125,0.54
0.62,0.425,0.825,0.64
0.33,0.525,0.525,0.43
0.74,0.725,0.825,0.76
0.66,0.125,0.825,0.6
0.41,0.225,0.925,0.53
0.57,0.225,0.925,0.61
0.53,0.925,0.425,0.58
0.45,0.825,0.525,0.55
0.56,0.925,0.625,0.65
0.57,0.325,0.225,0.42
0.73,0.825,0.125,0.57
0.34,0.725,0.625,0.5
0.66,0.525,0.925,0.71
0.36,0.625,0.625,0.49
0.67,0.825,0.525,0.66
0.58,0.525,0.425,0.52
0.46,0.425,0.125,0.35
0.53,0.925,0.825,0.7
0.68,0.325,0.725,0.62
0.39,0.525,0.825,0.55
0.7,0.825,0.125,0.55
0.7,0.625,0.625,0.66
0.34,0.325,0.125,0.27
0.49,0.925,0.725,0.65
0.41,0.525,0.225,0.38
0.31,0.825,0.725,0.54
0.32,0.125,0.325,0.28
0.51,0.925,0.925,0.72
0.75,0.625,0.525,0.66
0.65,0.725,0.925,0.75
0.6,0.225,0.425,0.47
0.37,0.125,0.125,0.25
0.62,0.225,0.325,0.45
0.73,0.325,0.825,0.68
0.49,0.425,0.825,0.58
0.5,0.625,0.925,0.65
0.39,0.225,0.525,0.4
0.78,0.425,0.525,0.63
0.45,0.525,0.425,0.46
0.46,0.525,0.325,0.43
0.46,0.225,0.525,0.43
0.5,0.725,0.225,0.46
0.39,0.225,0.225,0.31
0.77,0.125,0.825,0.66
0.69,0.725,0.525,0.65
0.57,0.225,0.525,0.49
0.38,0.625,0.825,0.56
0.51,0.625,0.825,0.63
0.5,0.725,0.625,0.58
0.73,0.525,0.225,0.54
0.47,0.925,0.525,0.58
0.57,0.825,0.625,0.64
0.42,0.725,0.825,0.6
0.58,0.125,0.725,0.53
0.36,0.925,0.825,0.61
0.39,0.425,0.525,0.44
0.47,0.925,0.725,0.64
0.66,0.925,0.625,0.7
0.39,0.325,0.125,0.3
0.49,0.525,0.925,0.63
0.72,0.225,0.125,0.44
0.62,0.225,0.825,0.6
0.74,0.925,0.125,0.59
0.56,0.225,0.725,0.54
0.5,0.325,0.825,0.56
0.52,0.425,0.325,0.44
0.48,0.525,0.725,0.56
0.5,0.625,0.825,0.62
0.54,0.725,0.125,0.45
0.57,0.725,0.625,0.62
0.47,0.825,0.125,0.44
0.65,0.625,0.725,0.67
0.5,0.125,0.825,0.52
0.34,0.725,0.225,0.38
0.73,0.225,0.525,0.57
0.66,0.725,0.125,0.51
0.43,0.225,0.225,0.33
0.32,0.325,0.525,0.38
0.43,0.125,0.625,0.43
0.34,0.225,0.225,0.28
0.63,0.825,0.325,0.58
0.73,0.325,0.625,0.62
0.45,0.225,0.225,0.34
0.6,0.725,0.225,0.51
0.68,0.725,0.325,0.58
0.39,0.325,0.825,0.51
0.36,0.625,0.225,0.37
0.34,0.425,0.625,0.44
0.63,0.125,0.725,0.56
0.77,0.525,0.125,0.53
0.55,0.725,0.625,0.61
0.7,0.925,0.425,0.66
0.71,0.625,0.425,0.61
0.37,0.625,0.225,0.38
0.63,0.425,0.525,0.56
0.41,0.525,0.325,0.41
0.41,0.425,0.325,0.39
0.75,0.825,0.325,0.64
0.55,0.425,0.525,0.52
0.56,0.625,0.725,0.62
0.62,0.625,0.425,0.56
0.38,0.725,0.725,0.55
0.42,0.425,0.525,0.45
0.66,0.225,0.525,0.53
0.68,0.825,0.125,0.54
0.64,0.325,0.525,0.54
0.58,0.225,0.725,0.55
0.38,0.625,0.325,0.41
0.55,0.525,0.125,0.42
0.55,0.725,0.225,0.49
0.61,0.125,0.425,0.46
0.68,0.625,0.825,0.71
0.45,0.825,0.825,0.64
0.55,0.825,0.725,0.66
0.57,0.125,0.325,0.41
0.46,0.525,0.825,0.58
0.39,0.225,0.425,0.37
0.76,0.725,0.825,0.77
0.51,0.125,0.425,0.41
0.64,0.225,0.825,0.61
0.64,0.125,0.325,0.44
0.74,0.825,0.625,0.72
0.72,0.425,0.525,0.6
0.36,0.325,0.525,0.4
0.32,0.425,0.425,0.37
0.78,0.925,0.225,0.64
0.32,0.625,0.525,0.44
0.79,0.325,0.625,0.65
0.64,0.525,0.525,0.58
0.57,0.325,0.425,0.48
0.68,0.825,0.225,0.57
0.78,0.825,0.725,0.77
0.48,0.125,0.325,0.36
0.73,0.325,0.825,0.68
0.73,0.725,0.325,0.61
0.47,0.525,0.525,0.5
0.6,0.525,0.625,0.59
0.35,0.625,0.125,0.34
0.39,0.225,0.425,0.37
0.4,0.925,0.725,0.6
0.64,0.325,0.625,0.57
0.59,0.325,0.225,0.43
0.47,0.125,0.425,0.39
0.34,0.325,0.525,0.39
0.3,0.825,0.225,0.38
0.64,0.625,0.525,0.6
0.56,0.825,0.825,0.69
0.41,0.925,0.625,0.58
0.55,0.225,0.625,0.51
0.6,0.825,0.825,0.71
0.63,0.525,0.925,0.7
0.34,0.525,0.925,0.55
0.43,0.925,0.925,0.68
0.74,0.825,0.125,0.57
0.6,0.625,0.925,0.7
0.75,0.325,0.525,0.6
0.52,0.625,0.525,0.54
0.71,0.125,0.925,0.66
0.57,0.425,0.625,0.56
0.66,0.925,0.825,0.76
0.64,0.625,0.725,0.66
0.46,0.425,0.425,0.44
0.62,0.725,0.625,0.64
0.62,0.225,0.125,0.39
0.42,0.825,0.225,0.44
0.35,0.125,0.825,0.45
0.48,0.925,0.225,0.49
0.67,0.525,0.825,0.69
0.43,0.325,0.825,0.53
0.66,0.625,0.125,0.49
0.31,0.225,0.225,0.27
0.75,0.825,0.725,0.76
0.46,0.825,0.125,0.43
0.79,0.525,0.625,0.69
0.47,0.325,0.225,0.37
0.76,0.525,0.625,0.67
0.78,0.125,0.325,0.51
0.66,0.525,0.625,0.62
0.53,0.125,0.925,0.57
0.74,0.225,0.225,0.48
0.51,0.625,0.525,0.54
0.37,0.825,0.225,0.42
0.69,0.325,0.925,0.69
0.74,0.525,0.425,0.6
0.4,0.125,0.225,0.29
0.65,0.625,0.525,0.61
0.55,0.525,0.725,0.6
0.71,0.925,0.125,0.58
0.39,0.725,0.925,0.62
0.63,0.625,0.925,0.72
0.52,0.725,0.225,0.47
0.68,0.225,0.225,0.45
0.64,0.525,0.725,0.64
0.32,0.625,0.425,0.41
0.56,0.325,0.525,0.5
0.65,0.425,0.725,0.63
0.68,0.325,0.225,0.47
0.67,0.925,0.325,0.62
0.66,0.325,0.625,0.58
0.53,0.425,0.925,0.63
0.42,0.925,0.425,0.52
0.61,0.425,0.525,0.55
0.47,0.325,0.825,0.55
0.32,0.725,0.225,0.37
0.45,0.925,0.325,0.51
0.74,0.225,0.125,0.45
0.76,0.825,0.225,0.61
0.38,0.425,0.225,0.34
0.33,0.425,0.125,0.29
0.75,0.225,0.825,0.67
0.65,0.725,0.325,0.57
0.54,0.525,0.125,0.41
0.56,0.825,0.625,0.63
0.6,0.225,0.925,0.62
0.65,0.625,0.525,0.61
0.45,0.925,0.325,0.51
0.54,0.725,0.825,0.66
0.4,0.625,0.725,0.54
0.35,0.725,0.425,0.45
0.39,0.425,0.225,0.35
0.38,0.525,0.125,0.33
0.69,0.425,0.825,0.68
0.79,0.425,0.925,0.76
0.52,0.725,0.525,0.56
0.56,0.525,0.425,0.51
0.53,0.325,0.125,0.37
0.75,0.125,0.525,0.56
0.71,0.525,0.425,0.59
0.41,0.625,0.525,0.49
0.65,0.325,0.825,0.64
0.32,0.925,0.425,0.47
0.39,0.225,0.825,0.49
0.7,0.325,0.925,0.69
0.67,0.825,0.225,0.57
0.51,0.225,0.925,0.58
0.47,0.125,0.725,0.48
0.59,0.125,0.525,0.48
0.38,0.825,0.625,0.54
0.35,0.225,0.625,0.41
0.68,0.325,0.425,0.53
0.73,0.525,0.825,0.72
0.48,0.225,0.825,0.53
0.77,0.625,0.125,0.55
0.36,0.125,0.525,0.36
0.48,0.125,0.925,0.54
0.51,0.625,0.825,0.63
0.57,0.825,0.125,0.49
0.41,0.925,0.525,0.55
0.74,0.225,0.125,0.45
0.34,0.225,0.925,0.49
0.34,0.225,0.725,0.43
0.31,0.525,0.525,0.42
0.52,0.825,0.425,0.55
0.39,0.625,0.325,0.42
0.66,0.325,0.525,0.55
0.79,0.325,0.425,0.59
0.76,0.725,0.225,0.59
0.7,0.825,0.125,0.55
0.61,0.325,0.825,0.62
0.76,0.625,0.425,0.63
0.78,0.225,0.425,0.56
0.68,0.425,0.625,0.61
0.56,0.325,0.725,0.56
0.77,0.725,0.425,0.66
0.5,0.925,0.625,0.62
0.73,0.425,0.125,0.49
0.56,0.225,0.125,0.36
0.45,0.825,0.825,0.64
0.54,0.525,0.825,0.62
0.5,0.225,0.525,0.45
0.44,0.625,0.525,0.5
0.72,0.325,0.625,0.61
0.74,0.325,0.525,0.59
0.55,0.925,0.825,0.71
0.78,0.625,0.625,0.7
0.38,0.825,0.225,0.42
0.77,0.425,0.125,0.51
0.39,0.925,0.125,0.42
0.71,0.425,0.125,0.48
0.42,0.625,0.625,0.52
0.47,0.425,0.825,0.57
0.52,0.525,0.125,0.4
0.61,0.825,0.825,0.72
0.32,0.125,0.225,0.25
0.49,0.825,0.325,0.51
0.45,0.125,0.225,0.32
0.6,0.225,0.325,0.44
0.36,0.125,0.525,0.36
0.45,0.625,0.525,0.51
0.55,0.625,0.725,0.62
0.61,0.925,0.425,0.62
0.6,0.625,0.825,0.67
0.32,0.525,0.225,0.33
0.54,0.325,0.625,0.52
0.8,0.325,0.125,0.5
0.7,0.825,0.625,0.7
0.79,0.425,0.425,0.61
0.5,0.725,0.425,0.52
0.54,0.225,0.525,0.47
0.68,0.325,0.625,0.59
0.77,0.125,0.225,0.48
0.73,0.625,0.725,0.71
0.54,0.325,0.525,0.49
0.42,0.225,0.925,0.53
0.38,0.825,0.525,0.51
0.52,0.425,0.425,0.47
0.4,0.825,0.625,0.55
0.63,0.425,0.225,0.47
0.47,0.425,0.725,0.54
0.54,0.925,0.625,0.64
0.59,0.825,0.325,0.56
0.38,0.125,0.525,0.37
0.49,0.125,0.925,0.55
0.5,0.625,0.225,0.44
0.53,0.625,0.225,0.46
0.67,0.525,0.925,0.72
0.32,0.725,0.225,0.37
0.47,0.725,0.425,0.51
0.32,0.725,0.225,0.37
0.39,0.325,0.125,0.3
0.41,0.925,0.725,0.61
0.5,0.225,0.325,0.39
0.65,0.625,0.425,0.58
0.52,0.325,0.125,0.36
0.63,0.425,0.525,0.56
0.3,0.225,0.425,0.32
0.79,0.925,0.525,0.74
0.52,0.525,0.125,0.4
0.61,0.825,0.725,0.69
0.55,0.525,0.325,0.48
0.54,0.325,0.825,0.58
0.52,0.825,0.225,0.49
0.51,0.425,0.625,0.53
0.56,0.925,0.725,0.68
0.77,0.325,0.725,0.67
0.7,0.625,0.325,0.57
0.46,0.525,0.125,0.37
0.72,0.625,0.725,0.7
0.77,0.725,0.825,0.78
0.59,0.925,0.525,0.64
0.38,0.225,0.225,0.3
0.5,0.525,0.925,0.63
0.53,0.925,0.625,0.64
0.47,0.525,0.825,0.59
0.57,0.325,0.625,0.54
0.61,0.925,0.725,0.71
0.75,0.425,0.625,0.65
0.52,0.725,0.525,0.56
0.41,0.425,0.225,0.36
0.51,0.425,0.225,0.41
0.32,0.625,0.125,0.32
0.73,0.525,0.925,0.75
0.44,0.425,0.125,0.34
0.48,0.325,0.925,0.58
0.7,0.325,0.625,0.6
0.77,0.225,0.725,0.65
0.76,0.725,0.825,0.77
0.4,0.225,0.725,0.46
0.41,0.725,0.725,0.57
0.35,0.925,0.725,0.58
0.31,0.325,0.825,0.47
0.49,0.325,0.225,0.38
0.62,0.825,0.725,0.69
0.45,0.125,0.825,0.5
0.43,0.825,0.425,0.51
0.5,0.925,0.625,0.62
0.48,0.625,0.225,0.43
0.44,0.725,0.525,0.52
0.6,0.425,0.225,0.45
0.33,0.225,0.825,0.46
0.69,0.925,0.125,0.57
0.53,0.525,0.225,0.44
0.51,0.125,0.825,0.53
0.7,0.625,0.425,0.6
0.4,0.925,0.925,0.66
0.5,0.225,0.725,0.51
0.44,0.225,0.725,0.48
0.57,0.325,0.725,0.57
0.66,0.625,0.125,0.49
0.35,0.225,0.925,0.5
0.78,0.825,0.825,0.8
0.59,0.125,0.925,0.6
0.6,0.525,0.125,0.44
0.43,0.725,0.125,0.4
0.38,0.825,0.925,0.63
0.73,0.825,0.525,0.69
0.58,0.425,0.525,0.53
0.66,0.825,0.725,0.71
0.57,0.625,0.725,0.63
0.68,0.425,0.625,0.61
0.49,0.525,0.925,0.63
0.36,0.525,0.125,0.32
0.5,0.225,0.625,0.48
0.46,0.525,0.525,0.49
0.76,0.825,0.825,0.79
0.32,0.725,0.825,0.55
0.31,0.825,0.125,0.36
0.76,0.125,0.725,0.62
0.44,0.725,0.225,0.43
0.76,0.325,0.125,0.48
0.54,0.425,0.825,0.6
0.48,0.125,0.325,0.36
0.55,0.425,0.725,0.58
0.75,0.725,0.925,0.8
0.75,0.625,0.125,0.54
0.44,0.425,0.225,0.37
0.48,0.325,0.525,0.46
0.58,0.625,0.325,0.51
0.54,0.625,0.425,0.52
0.52,0.425,0.725,0.56
0.36,0.625,0.325,0.4
0.31,0.725,0.625,0.49
0.77,0.225,0.525,0.59
0.58,0.125,0.925,0.59
0.37,0.225,0.825,0.48
0.72,0.525,0.725,0.68
0.69,0.525,0.925,0.73
0.42,0.825,0.825,0.62
0.45,0.225,0.325,0.37
0.7,0.325,0.225,0.48
0.68,0.725,0.925,0.76
0.41,0.725,0.825,0.6
0.34,0.425,0.125,0.29
0.35,0.925,0.625,0.55
0.53,0.825,0.525,0.59
0.72,0.325,0.925,0.7
0.75,0.825,0.725,0.76
0.75,0.925,0.725,0.78
0.6,0.725,0.325,0.54
0.43,0.725,0.725,0.58
0.52,0.425,0.825,0.59
0.68,0.525,0.925,0.72
0.56,0.325,0.325,0.44
0.3,0.825,0.425,0.44
0.47,0.625,0.825,0.61
0.52,0.125,0.325,0.38
0.61,0.325,0.425,0.5
0.39,0.225,0.425,0.37
0.68,0.625,0.825,0.71
0.38,0.525,0.125,0.33
0.68,0.525,0.725,0.66
0.67,0.125,0.225,0.43
0.35,0.525,0.825,0.53
0.48,0.925,0.725,0.64
0.56,0.125,0.625,0.49
0.47,0.725,0.925,0.66
0.31,0.425,0.225,0.31
0.51,0.625,0.525,0.54
0.69,0.225,0.625,0.58
0.66,0.625,0.625,0.64
0.77,0.525,0.425,0.62
0.5,0.125,0.525,0.43
0.66,0.825,0.825,0.74
0.46,0.825,0.125,0.43
0.55,0.125,0.825,0.55
0.42,0.325,0.825,0.52
0.57,0.625,0.225,0.48
0.78,0.725,0.325,0.63
0.59,0.225,0.925,0.62
0.45,0.625,0.225,0.42
0.49,0.725,0.925,0.67
0.59,0.425,0.525,0.54
0.51,0.425,0.825,0.59
0.32,0.425,0.425,0.37
0.56,0.125,0.225,0.37
